Title                                                                                             - Score - Year - Num Eps            - Duration              - Genre(s)                                                                          - Link
Oshin                                                                                             - 7.92  - 1984 - 1 episode(s)       - 2 hr. 3 min.          - Historical, Drama                                                                 - https://myanimelist.net/anime/9866
Ozma                                                                                              - 6.14  - 2012 - 6 episode(s)       - 24 min. per ep.       - Action, Sci-Fi, Adventure                                                         - https://myanimelist.net/anime/12677
Panda Kopanda                                                                                     - 6.87  - 1972 - 2 episode(s)       - 36 min. per ep.       - Comedy, Kids                                                                      - https://myanimelist.net/anime/2611
Panda no Daibouken                                                                                - 6.50  - 1973 - 1 episode(s)       - 53 min.               - Adventure                                                                         - https://myanimelist.net/anime/3758
Paperman                                                                                          - 4.63  - 2011 - 1 episode(s)       - 6 min.                - Game                                                                              - https://myanimelist.net/anime/35527
Pikotarou no Lullaby Lullaby                                                                      - 5.40  - 2017 - 3 episode(s)       - 2 min. per ep.        - Comedy                                                                            - https://myanimelist.net/anime/36520
Pokemon Best Wishes! Season 2: Episode N                                                          - 6.94  - 2013 - 14 episode(s)      - 22 min. per ep.       - Action, Adventure, Comedy, Kids, Fantasy                                          - https://myanimelist.net/anime/17115
Pokemon Sun &amp; Moon                                                                            - 6.98  - 2016 - Unknown episode(s) - 24 min.               - Action, Fantasy, Game, Kids, School                                               - https://myanimelist.net/anime/34034
Pokemon XY                                                                                        - 7.44  - 2013 - 93 episode(s)      - 23 min. per ep.       - Action, Adventure, Comedy, Fantasy, Kids                                          - https://myanimelist.net/anime/19291
Pokemon: Maboroshi no Pokemon Lugia Bakutan                                                       - 7.45  - 1999 - 1 episode(s)       - 1 hr. 20 min.         - Adventure, Comedy, Kids, Drama, Fantasy                                           - https://myanimelist.net/anime/1117
Pokemon: Pikachu Tankentai                                                                        - 6.61  - 1999 - 1 episode(s)       - 23 min.               - Adventure, Comedy, Fantasy, Kids                                                  - https://myanimelist.net/anime/4792
Potecco Babies                                                                                    - 5.09  - 2010 - 2 episode(s)       - 3 min. per ep.        - Comedy                                                                            - https://myanimelist.net/anime/8958
Precure Super Stars! Movie                                                                        - 6.33  - 2018 - 1 episode(s)       - Unknown               - Action, Fantasy, Magic                                                            - https://myanimelist.net/anime/36995
Princess Lover! OVA                                                                               - 6.80  - 2010 - 2 episode(s)       - 27 min. per ep.       - Hentai                                                                            - https://myanimelist.net/anime/8918
