Title                                                                                               - Score - Year - Num Eps       - Duration           - Genre(s)                                                                        - Link

"Bungaku Shoujo" Movie                                                                              - 7.34  - 2010 - 1 episode     - 1 hr 40 min        - Drama, Mystery, Romance, School                                                 - https://myanimelist.net/anime/6408
Choubakuretsu Ijigen Menko Battle: Gigant Shooter Tsukasa                                           - 5.61  - 2014 - 32 episodes   - 9 min per ep       - Action, Comedy, Kids, Strategy Game                                             - https://myanimelist.net/anime/23511
Choujin Densetsu Urotsukidouji: Mirai-hen                                                           - 5.65  - 1992 - 4 episodes    - 48 min per ep      - Fantasy, Hentai, Horror, Mythology, Sci-Fi                                      - https://myanimelist.net/anime/2343
Chouon Senshi Borgman 2: Shinseiki 2058                                                             - 5.65  - 1993 - 3 episodes    - 29 min per ep      - Action, Mythology, Sci-Fi                                                       - https://myanimelist.net/anime/3764
Chouon Senshi Borgman: Lovers Rain                                                                  - 5.69  - 1990 - 1 episode     - 33 min             - Action, Mythology, Sci-Fi                                                       - https://myanimelist.net/anime/3763
Chu Fa Zhi Qian                                                                                     - None  - 1975 - 1 episode     - 40 min             - Kids                                                                            - https://myanimelist.net/anime/43384
Chuang Tang Tu 2: Fengkuang Maxi Tuan                                                               - None  - 2015 - 1 episode     - 1 hr 30 min        - Adventure, Anthropomorphic, Fantasy, Kids                                       - https://myanimelist.net/anime/44801
Chuang Tang Tu                                                                                      - None  - 2011 - 1 episode     - 1 hr 30 min        - Adventure, Anthropomorphic, Kids                                                - https://myanimelist.net/anime/44800
Chuldong! Super Wings 2                                                                             - 5.81  - 2017 - 52 episodes   - 12 min per ep      - Adventure, Kids, Racing                                                         - https://myanimelist.net/anime/38526
Chuldong! Super Wings 3                                                                             - None  - 2018 - 40 episodes   - 11 min per ep      - Adventure, Kids, Racing                                                         - https://myanimelist.net/anime/39820
Chuldong! Super Wings                                                                               - 5.84  - 2013 - 52 episodes   - 12 min per ep      - Adventure, Kids, Racing                                                         - https://myanimelist.net/anime/38525
Chunchun World: Magic Carnival                                                                      - None  - 1995 - 1 episode     - 2 min              - Kids, Music                                                                     - https://myanimelist.net/anime/53927
Chunchun World: Ogenki Taisou                                                                       - None  - 1994 - 1 episode     - 2 min              - Kids, Music                                                                     - https://myanimelist.net/anime/53926
Chunkun                                                                                             - None  - 2018 - 1 episode     - 6 min              - Drama, Historical                                                               - https://myanimelist.net/anime/53102
