Title                                                             - Score - Num Eps            - Duration             - Genre(s)                                                              - Link
Qin Shi Ming Yue Tebie Pian: Di Zi Jiang Xi                       - 5.97  - 1 episode(s)       - 15 min.              - Action, Historical, Martial Arts, Fantasy                             - https://myanimelist.net/anime/33278
Qin Shi Ming Yue Zhi: Luosheng Tangxia                            - 6.19  - 1 episode(s)       - 18 min.              - Action, Historical, Martial Arts, Fantasy                             - https://myanimelist.net/anime/29937
Qin Shi Ming Yue: Bai Bu Fei Jian                                 - 6.78  - 10 episode(s)      - 22 min. per ep.      - Action, Historical, Martial Arts, Fantasy                             - https://myanimelist.net/anime/9806
Qin Shi Ming Yue: Guoqing Tebie Pian                              - 3.88  - 1 episode(s)       - 9 min.               - Action, Comedy, Historical, Martial Arts, Fantasy                     - https://myanimelist.net/anime/33258
Qin Shi Ming Yue: Junlin Tianxia                                  - 8.33  - 75 episode(s)      - 26 min. per ep.      - Action, Historical, Martial Arts, Fantasy                             - https://myanimelist.net/anime/29936
Qin Shi Ming Yue: Kong Shan Niao Yu                               - 7.35  - 3 episode(s)       - 26 min. per ep.      - Action, Historical, Martial Arts, Fantasy                             - https://myanimelist.net/anime/29935
Qin Shi Ming Yue: Zhu Zi Bai Jia                                  - 7.44  - 34 episode(s)      - 22 min. per ep.      - Action, Historical, Martial Arts, Fantasy                             - https://myanimelist.net/anime/11835
Quanzhi Fashi 2nd Season                                          - 6.69  - 12 episode(s)      - 18 min. per ep.      - Action, Magic, Fantasy, School                                        - https://myanimelist.net/anime/36318
Quanzhi Fashi                                                     - 7.60  - 12 episode(s)      - 18 min. per ep.      - Action, Magic, Fantasy, School                                        - https://myanimelist.net/anime/34300
Quanzhi Gaoshou OVA                                               - N/A   - 1 episode(s)       - 30 min.              - Action, Game                                                          - https://myanimelist.net/anime/37078
Quanzhi Gaoshou                                                   - 8.09  - 12 episode(s)      - 24 min. per ep.      - Action, Game                                                          - https://myanimelist.net/anime/33926
Rean no Tsubasa                                                   - 5.85  - 6 episode(s)       - 24 min. per ep.      - Fantasy, Mecha, Sci-Fi                                                - https://myanimelist.net/anime/574
Romeo no Aoi Sora                                                 - 8.45  - 33 episode(s)      - 23 min. per ep.      - Adventure, Drama, Historical, Slice of Life                           - https://myanimelist.net/anime/2559
Rudolf to Ippaiattena x Godzilla x Toho Cinemas Moving Logo Eizou - 4.53  - 1 episode(s)       - 22 sec.              - Comedy                                                                - https://myanimelist.net/anime/36835
Rudolf to Ippaiattena                                             - 6.91  - 1 episode(s)       - 1 hr. 30 min.        - Adventure, Kids                                                       - https://myanimelist.net/anime/31373
